Batch size, fwd_time, bwd_time, max_mem_usage, input_mem, model_mem, pre_fwd_bwd_mem
1, 0.1950390338897705, 0.008369207382202148, 241292288, 13312, 50384896, 52495360
2, 0.003680706024169922, 0.012955904006958008, 380773376, 25600, 50384896, 102892544
3, 0.0035440921783447266, 0.01856398582458496, 518153216, 37888, 50384896, 102904832
4, 0.003534078598022461, 0.026308774948120117, 654484480, 50176, 50384896, 102917120
5, 0.0035293102264404297, 0.030651569366455078, 791340032, 62464, 50384896, 102929408
6, 0.003460407257080078, 0.03432631492614746, 929244160, 74752, 50384896, 102941696
7, 0.003592252731323242, 0.03819680213928223, 1065575424, 87040, 50384896, 102953984
8, 0.003519296646118164, 0.04418802261352539, 1201906688, 99328, 50384896, 102966272
9, 0.003684520721435547, 0.04931807518005371, 1338762240, 111616, 50384896, 102978560
10, 0.003702878952026367, 0.05451536178588867, 1475617792, 123904, 50384896, 102990848
11, 0.0037620067596435547, 0.060411930084228516, 1612473344, 136192, 50384896, 103003136
12, 0.0037136077880859375, 0.06388330459594727, 1749328896, 148480, 50384896, 103015424
13, 0.0038645267486572266, 0.06958627700805664, 1886184448, 160768, 50384896, 103027712
14, 0.003754138946533203, 0.07263779640197754, 2024088576, 173056, 50384896, 103040000
15, 0.0040967464447021484, 0.07914066314697266, 2159895552, 185344, 50384896, 103052288
16, 0.0041027069091796875, 0.08469486236572266, 2296751104, 197632, 50384896, 103064576
17, 0.004499197006225586, 0.08861207962036133, 2433606656, 209920, 50384896, 103076864
18, 0.004838228225708008, 0.09617018699645996, 2570462208, 222208, 50384896, 103089152
19, 0.005471944808959961, 0.0999751091003418, 2707842048, 234496, 50384896, 103101440
20, 0.4262354373931885, 0.09096717834472656, 2844173312, 246784, 50384896, 103113728
21, 0.01715874671936035, 0.10827112197875977, 2981028864, 259072, 50384896, 103126016
22, 0.004429340362548828, 0.11667394638061523, 3117884416, 271360, 50384896, 103138304
23, 0.004326820373535156, 0.12224912643432617, 3254739968, 283648, 50384896, 103150592
24, 0.005059957504272461, 0.1260662078857422, 3391595520, 295936, 50384896, 103162880
25, 0.005013465881347656, 0.13051795959472656, 3528451072, 308224, 50384896, 103175168
26, 0.004926443099975586, 0.1365666389465332, 3665306624, 320512, 50384896, 103187456
27, 0.30141139030456543, 0.11734533309936523, 3802686464, 332800, 50384896, 103199744
28, 0.019229412078857422, 0.14550566673278809, 3939017728, 345088, 50384896, 103212032
29, 0.006062746047973633, 0.15048575401306152, 4075873280, 357376, 50384896, 103224320
30, 0.00537872314453125, 0.15604424476623535, 4212728832, 369664, 50384896, 103236608
31, 0.004980802536010742, 0.1601390838623047, 4349584384, 381952, 50384896, 103248896
32, 0.2731037139892578, 0.1434619426727295, 4486439936, 394240, 50384896, 103261184
33, 0.02453303337097168, 0.16828680038452148, 4623295488, 406528, 50384896, 103273472
34, 0.005589008331298828, 0.17832112312316895, 4760151040, 418816, 50384896, 103285760
35, 0.005495786666870117, 0.17975139617919922, 4897006592, 431104, 50384896, 103298048
36, 0.25072288513183594, 0.15938544273376465, 5033862144, 443392, 50384896, 103310336
37, 0.0249178409576416, 0.19177484512329102, 5170717696, 455680, 50384896, 103322624
38, 0.006901741027832031, 0.19835376739501953, 5307573248, 467968, 50384896, 103334912
39, 0.0061855316162109375, 0.372300386428833, 5444428800, 480256, 50384896, 103347200
40, 0.021591663360595703, 0.23130393028259277, 5581284352, 492544, 50384896, 103359488
41, 0.005157470703125, 0.21486616134643555, 5718139904, 504832, 50384896, 103371776
42, 0.005281209945678711, 0.21883058547973633, 5854995456, 517120, 50384896, 103384064
43, 0.22262907028198242, 0.3844161033630371, 5992375296, 529408, 50384896, 103396352
44, 0.005683183670043945, 0.2308671474456787, 6128706560, 541696, 50384896, 103408640
45, 0.005336284637451172, 0.23546147346496582, 6265562112, 553984, 50384896, 103420928
46, 0.5485093593597412, 0.22873997688293457, 6402417664, 566272, 50384896, 103433216
47, 0.00615382194519043, 0.24247479438781738, 6539273216, 578560, 50384896, 103445504
48, 0.006957530975341797, 0.38504624366760254, 6676128768, 590848, 50384896, 103457792
49, 0.022792816162109375, 0.2511169910430908, 6812984320, 603136, 50384896, 103470080
50, 0.005676746368408203, 0.2589898109436035, 6949839872, 615424, 50384896, 103482368
51, 0.1952381134033203, 0.41700291633605957, 7087219712, 627712, 50384896, 103494656
52, 0.0061321258544921875, 0.2673521041870117, 7223550976, 640000, 50384896, 103506944
53, 0.23774242401123047, 0.3726806640625, 7360406528, 652288, 50384896, 103519232
54, 0.006099224090576172, 0.2790951728820801, 7498310656, 664576, 50384896, 103531520
55, 0.5318808555603027, 0.27431344985961914, 7634641920, 676864, 50384896, 103543808
56, 0.007182121276855469, 0.28679752349853516, 7770973184, 689152, 50384896, 103556096
57, 0.31938815116882324, 0.4106028079986572, 7907828736, 701440, 50384896, 103568384
58, 0.006874561309814453, 0.2989778518676758, 8044684288, 713728, 50384896, 103580672
59, 0.5538163185119629, 0.2941772937774658, 8181539840, 726016, 50384896, 103592960
60, 0.006134748458862305, 0.4361898899078369, 8318395392, 738304, 50384896, 103605248
61, 0.20960474014282227, 0.3127779960632324, 8455250944, 750592, 50384896, 103617536
62, 0.01133275032043457, 0.6785171031951904, 8592106496, 762880, 50384896, 103629824
63, 0.006316423416137695, 0.32326841354370117, 8728962048, 775168, 50384896, 103642112
64, 0.47719907760620117, 0.266909122467041, 8865817600, 787456, 50384896, 103654400
65, 0.007735490798950195, 0.48100733757019043, 9002674176, 800768, 50384896, 103667712
66, 0.18295931816101074, 0.3444325923919678, 9139529728, 813056, 50384896, 103680000
67, 0.49238061904907227, 0.3326530456542969, 9276909568, 825344, 50384896, 103692288
68, 0.008728265762329102, 0.41672253608703613, 9413240832, 837632, 50384896, 103704576
69, 0.5006437301635742, 0.2783381938934326, 9550096384, 849920, 50384896, 103716864
70, 0.00950002670288086, 0.5169270038604736, 9688000512, 862208, 50384896, 103729152
71, 0.5225400924682617, 0.3522636890411377, 9824331776, 874496, 50384896, 103741440
72, 0.009196281433105469, 0.5272338390350342, 9960663040, 886784, 50384896, 103753728
73, 0.5303142070770264, 0.36649227142333984, 10097518592, 899072, 50384896, 103766016
74, 0.4454834461212158, 0.30053067207336426, 10235422720, 911360, 50384896, 103778304
75, 0.4552478790283203, 0.3714568614959717, 10371753984, 923648, 50384896, 103790592
76, 0.4597187042236328, 0.3092184066772461, 10508085248, 935936, 50384896, 103802880
77, 0.47298669815063477, 0.3802783489227295, 10644940800, 948224, 50384896, 103815168
78, 0.47008347511291504, 0.31816530227661133, 10782844928, 960512, 50384896, 103827456
79, 0.491344690322876, 0.38901591300964355, 10919176192, 972800, 50384896, 103839744
80, 0.4832608699798584, 0.3994412422180176, 11055507456, 985088, 50384896, 103852032
81, 0.49565744400024414, 0.3996422290802002, 11192363008, 997376, 50384896, 103864320
82, 0.5011758804321289, 0.40630578994750977, 11330267136, 1009664, 50384896, 103876608
83, 0.5012731552124023, 0.4105992317199707, 11466598400, 1021952, 50384896, 103888896
84, 0.5155854225158691, 0.41588640213012695, 11602929664, 1034240, 50384896, 103901184
85, 0.5127782821655273, 0.4204697608947754, 11739785216, 1046528, 50384896, 103913472
86, 0.5250303745269775, 0.430844783782959, 11877689344, 1058816, 50384896, 103925760
87, 0.5169076919555664, 0.4341750144958496, 12014020608, 1071104, 50384896, 103938048
88, 0.5270369052886963, 0.4442005157470703, 12150351872, 1083392, 50384896, 103950336
89, 0.5266933441162109, 0.46445369720458984, 12287207424, 1095680, 50384896, 103962624
90, 0.5388572216033936, 0.46228647232055664, 12425111552, 1107968, 50384896, 103974912
91, 0.5496578216552734, 0.46430015563964844, 12561442816, 1120256, 50384896, 103987200
92, 0.5556643009185791, 0.46157312393188477, 12697774080, 1132544, 50384896, 103999488
93, 0.5528953075408936, 0.4708430767059326, 12834629632, 1144832, 50384896, 104011776
94, 0.5650172233581543, 0.7374672889709473, 12972533760, 1157120, 50384896, 104024064
