Batch size, fwd_time, bwd_time, max_mem_usage, input_mem, model_mem, pre_fwd_bwd_mem
1, 0.18956494331359863, 0.005692481994628906, 725783552, 13312, 172036096, 172049408
2, 0.004946708679199219, 0.015610456466674805, 979694592, 25600, 172036096, 688169984
3, 0.003049135208129883, 0.024240493774414062, 1126515712, 37888, 172036096, 688182272
4, 0.0029380321502685547, 0.03477954864501953, 1271239680, 50176, 172036096, 688194560
5, 0.003298044204711914, 0.04073143005371094, 1417012224, 62464, 172036096, 688206848
6, 0.0030019283294677734, 0.044316768646240234, 1564881920, 74752, 172036096, 688219136
7, 0.003314495086669922, 0.04878711700439453, 1709605888, 87040, 172036096, 688231424
8, 0.003650665283203125, 0.057564496994018555, 1854329856, 99328, 172036096, 688243712
9, 0.00395512580871582, 0.06644415855407715, 2000102400, 111616, 172036096, 688256000
10, 0.004000663757324219, 0.07059192657470703, 2145874944, 123904, 172036096, 688268288
11, 0.004407644271850586, 0.08084249496459961, 2291647488, 136192, 172036096, 688280576
12, 0.003922462463378906, 0.08538985252380371, 2437420032, 148480, 172036096, 688292864
13, 0.00391697883605957, 0.09253525733947754, 2584241152, 160768, 172036096, 688305152
14, 0.003967761993408203, 0.09675741195678711, 2730013696, 173056, 172036096, 688317440
15, 0.0040395259857177734, 0.10671424865722656, 2874737664, 185344, 172036096, 688329728
16, 0.004087209701538086, 0.11472153663635254, 3020510208, 197632, 172036096, 688342016
17, 0.005665302276611328, 0.11843657493591309, 3166282752, 209920, 172036096, 688354304
18, 0.004225969314575195, 0.12881684303283691, 3312055296, 222208, 172036096, 688366592
19, 0.0042722225189208984, 0.13378071784973145, 3458876416, 234496, 172036096, 688378880
20, 0.36367225646972656, 0.1148214340209961, 3603600384, 246784, 172036096, 688391168
21, 0.020981550216674805, 0.13177895545959473, 3749372928, 259072, 172036096, 688403456
22, 0.004398822784423828, 0.15554165840148926, 3895145472, 271360, 172036096, 688415744
23, 0.004540205001831055, 0.16162657737731934, 4040918016, 283648, 172036096, 688428032
24, 0.005049705505371094, 0.16795611381530762, 4186690560, 295936, 172036096, 688440320
25, 0.004596233367919922, 0.17554807662963867, 4332463104, 308224, 172036096, 688452608
26, 0.004660367965698242, 0.39427876472473145, 4478235648, 320512, 172036096, 688464896
27, 0.018894195556640625, 0.1795036792755127, 4624008192, 332800, 172036096, 688477184
