Batch size, fwd_time, bwd_time, max_mem_usage, input_mem, model_mem, pre_fwd_bwd_mem
1, 0.18523192405700684, 0.008018732070922852, 241292288, 13312, 50384896, 52495360
2, 0.004220247268676758, 0.012761116027832031, 481543168, 25600, 50384896, 203662336
3, 0.0033233165740966797, 0.018830299377441406, 618923008, 37888, 50384896, 203674624
4, 0.003326892852783203, 0.02617192268371582, 755254272, 50176, 50384896, 203686912
5, 0.0033605098724365234, 0.03192329406738281, 892109824, 62464, 50384896, 203699200
6, 0.00344085693359375, 0.03456997871398926, 1030013952, 74752, 50384896, 203711488
7, 0.003408193588256836, 0.038492679595947266, 1166345216, 87040, 50384896, 203723776
8, 0.003509044647216797, 0.04574131965637207, 1302676480, 99328, 50384896, 203736064
9, 0.0037610530853271484, 0.04987001419067383, 1439532032, 111616, 50384896, 203748352
10, 0.003549814224243164, 0.05382728576660156, 1576387584, 123904, 50384896, 203760640
11, 0.0036008358001708984, 0.05967450141906738, 1713243136, 136192, 50384896, 203772928
12, 0.003738880157470703, 0.06496071815490723, 1850098688, 148480, 50384896, 203785216
13, 0.004084348678588867, 0.06859827041625977, 1986954240, 160768, 50384896, 203797504
14, 0.004658699035644531, 0.07320666313171387, 2124858368, 173056, 50384896, 203809792
15, 0.004363298416137695, 0.08031821250915527, 2260665344, 185344, 50384896, 203822080
16, 0.003873109817504883, 0.08483695983886719, 2397520896, 197632, 50384896, 203834368
17, 0.004052162170410156, 0.09010601043701172, 2534376448, 209920, 50384896, 203846656
18, 0.00428318977355957, 0.0965585708618164, 2671232000, 222208, 50384896, 203858944
19, 0.00407719612121582, 0.10065865516662598, 2808611840, 234496, 50384896, 203871232
20, 0.3960692882537842, 0.08994126319885254, 2944943104, 246784, 50384896, 203883520
21, 0.019277334213256836, 0.10853123664855957, 3081798656, 259072, 50384896, 203895808
22, 0.00437474250793457, 0.11857271194458008, 3219702784, 271360, 50384896, 203908096
23, 0.004422187805175781, 0.1222376823425293, 3356034048, 283648, 50384896, 203920384
24, 0.005094051361083984, 0.12618660926818848, 3492365312, 295936, 50384896, 203932672
25, 0.004787921905517578, 0.13335847854614258, 3629220864, 308224, 50384896, 203944960
26, 0.005194664001464844, 0.13797736167907715, 3766076416, 320512, 50384896, 203957248
27, 0.29640960693359375, 0.11916708946228027, 3902931968, 332800, 50384896, 203969536
28, 0.023587942123413086, 0.1452183723449707, 4039787520, 345088, 50384896, 203981824
29, 0.005844593048095703, 0.15382742881774902, 4176643072, 357376, 50384896, 203994112
30, 0.004865407943725586, 0.15641450881958008, 4313498624, 369664, 50384896, 204006400
31, 0.004778861999511719, 0.16271734237670898, 4450354176, 381952, 50384896, 204018688
